Yearly Average ,Macroalgae,Cyano,Octocoral,Porifera,Seagrass,Stony_coral,Zoanthidea
1996,13.55760276,,11.41339095,3.212581375,0.878433394,10.69045599,1.331663881
1997,9.373256919,,10.69129873,2.824460838,0.521306875,10.21207531,1.547351344
1998,19.49781541,,10.37199771,2.067987288,0.622398556,8.585274563,1.357774106
1999,10.57040594,,8.477296785,2.102944116,0.604811494,7.401068837,1.310980959
2000,14.56083022,,8.201643017,2.630376064,0.901443331,7.383624855,1.32367718
2001,12.20647462,,9.053286589,2.412320752,0.673088564,7.131911422,1.233176254
2002,9.822994838,,11.05341865,2.675380444,0.770003488,7.547445102,1.614846227
2003,9.620901768,,12.27383265,2.708035653,0.49653635,7.158117487,1.423451403
2004,10.68941881,,12.81839042,2.412039108,0.361037528,6.548237431,1.50215173
2005,7.063422956,,12.42078796,2.091717138,0.343670145,6.603743485,1.381840229
2006,11.75804816,,10.37149467,1.758381765,0.127536241,5.655545661,1.316190781
2007,11.67131296,,10.79915047,2.276384301,0.109209723,5.8742826,1.275802147
2008,12.26225899,,11.43624518,2.531974483,0.072742027,5.893340406,1.352591779
2009,15.21903618,1.384841513,13.48267946,3.499901113,0.069529733,7.655352222,1.833337937
2010,17.28679421,4.123163426,11.00527213,4.13976837,0.44674887,6.541141074,0.928063856
2011,15.71644485,2.4219,11.66291093,4.088986519,0.038567887,5.799624005,1.739578873
2012,18.32224468,2.321333205,11.45429456,4.372978272,0.085660724,5.137114956,1.519035064
2013,13.22659712,1.186266667,12.43149914,3.307690755,0.10256547,7.702741836,1.518153741
2014,18.53484005,0.864257018,12.39915894,3.5461214,0.112679349,6.627179228,2.870033714
2015,15.53195339,1.669990634,12.62230002,4.029771382,0.071530402,7.162520588,1.628984205
2016,18.33184692,2.428220391,12.30372519,4.312269211,0.015655973,3.722979365,1.509273452
2017,16.6763385,2.760408565,12.41732893,4.932838069,0.088877228,5.877783336,1.574523375
